,movieId,rating,Action,Adventure,Animation,Children,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western
0,1,3.9209302325581397,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1,2,3.4318181818181817,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,3,3.2596153846153846,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
3,4,2.357142857142857,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
4,5,3.0714285714285716,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5,6,3.946078431372549,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
6,7,3.185185185185185,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
7,8,2.875,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,9,3.125,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,10,3.496212121212121,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
10,11,3.6714285714285713,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
11,12,2.4210526315789473,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
12,13,3.125,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,14,3.8333333333333335,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
14,15,3.0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
15,16,3.926829268292683,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
16,17,3.7761194029850746,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
17,18,3.7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
18,19,2.727272727272727,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
19,20,2.5,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0
20,21,3.49438202247191,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
21,22,3.2222222222222223,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0
22,23,3.125,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
23,24,3.125,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
24,25,3.625,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
25,26,3.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
26,27,3.3333333333333335,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
27,28,4.2272727272727275,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
28,29,4.0131578947368425,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0
29,30,3.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
